site_id,theme,technique,pii_type,folder
501,defi_web3,opacity_001,env_secrets,site_0501
502,defi_web3,transform_scale0,env_secrets,site_0502
503,defi_web3,fontsize_zero,env_secrets,site_0503
504,defi_web3,aria_hidden,env_secrets,site_0504
505,governo,transform_scale0,env_secrets,site_0505
506,governo,fontsize_zero,env_secrets,site_0506
507,governo,aria_hidden,env_secrets,site_0507
508,governo,zindex_behind,env_secrets,site_0508
509,jobs_tech,fontsize_zero,env_secrets,site_0509
510,jobs_tech,aria_hidden,env_secrets,site_0510
511,jobs_tech,zindex_behind,env_secrets,site_0511
512,jobs_tech,opacity_001,env_secrets,site_0512
513,financas,aria_hidden,env_secrets,site_0513
514,financas,zindex_behind,env_secrets,site_0514
515,financas,opacity_001,env_secrets,site_0515
516,financas,transform_scale0,env_secrets,site_0516
517,news_portal,zindex_behind,env_secrets,site_0517
518,news_portal,opacity_001,env_secrets,site_0518
519,news_portal,transform_scale0,env_secrets,site_0519
520,news_portal,fontsize_zero,env_secrets,site_0520
521,defi_web3,zindex_behind,web3_assets,site_0521
522,defi_web3,aria_hidden,web3_assets,site_0522
523,defi_web3,fontsize_zero,web3_assets,site_0523
524,defi_web3,transform_scale0,web3_assets,site_0524
525,governo,aria_hidden,web3_assets,site_0525
526,governo,fontsize_zero,web3_assets,site_0526
527,governo,transform_scale0,web3_assets,site_0527
528,governo,opacity_001,web3_assets,site_0528
529,jobs_tech,fontsize_zero,web3_assets,site_0529
530,jobs_tech,transform_scale0,web3_assets,site_0530
531,jobs_tech,opacity_001,web3_assets,site_0531
532,jobs_tech,zindex_behind,web3_assets,site_0532
533,financas,transform_scale0,web3_assets,site_0533
534,financas,opacity_001,web3_assets,site_0534
535,financas,zindex_behind,web3_assets,site_0535
536,financas,aria_hidden,web3_assets,site_0536
537,news_portal,opacity_001,web3_assets,site_0537
538,news_portal,zindex_behind,web3_assets,site_0538
539,news_portal,aria_hidden,web3_assets,site_0539
540,news_portal,fontsize_zero,web3_assets,site_0540
541,defi_web3,opacity_001,personal_id,site_0541
542,defi_web3,transform_scale0,personal_id,site_0542
543,defi_web3,fontsize_zero,personal_id,site_0543
544,defi_web3,aria_hidden,personal_id,site_0544
545,governo,transform_scale0,personal_id,site_0545
546,governo,fontsize_zero,personal_id,site_0546
547,governo,aria_hidden,personal_id,site_0547
548,governo,zindex_behind,personal_id,site_0548
549,jobs_tech,fontsize_zero,personal_id,site_0549
550,jobs_tech,aria_hidden,personal_id,site_0550
551,jobs_tech,zindex_behind,personal_id,site_0551
552,jobs_tech,opacity_001,personal_id,site_0552
553,financas,aria_hidden,personal_id,site_0553
554,financas,zindex_behind,personal_id,site_0554
555,financas,opacity_001,personal_id,site_0555
556,financas,transform_scale0,personal_id,site_0556
557,news_portal,zindex_behind,personal_id,site_0557
558,news_portal,opacity_001,personal_id,site_0558
559,news_portal,transform_scale0,personal_id,site_0559
560,news_portal,fontsize_zero,personal_id,site_0560
561,defi_web3,fontsize_zero,location,site_0561
562,defi_web3,aria_hidden,location,site_0562
563,defi_web3,zindex_behind,location,site_0563
564,defi_web3,opacity_001,location,site_0564
565,governo,aria_hidden,location,site_0565
566,governo,zindex_behind,location,site_0566
567,governo,opacity_001,location,site_0567
568,governo,transform_scale0,location,site_0568
569,jobs_tech,zindex_behind,location,site_0569
570,jobs_tech,opacity_001,location,site_0570
571,jobs_tech,transform_scale0,location,site_0571
572,jobs_tech,fontsize_zero,location,site_0572
573,financas,opacity_001,location,site_0573
574,financas,transform_scale0,location,site_0574
575,financas,fontsize_zero,location,site_0575
576,financas,aria_hidden,location,site_0576
577,news_portal,transform_scale0,location,site_0577
578,news_portal,fontsize_zero,location,site_0578
579,news_portal,aria_hidden,location,site_0579
580,news_portal,zindex_behind,location,site_0580
581,defi_web3,zindex_behind,professional,site_0581
582,defi_web3,aria_hidden,professional,site_0582
583,defi_web3,fontsize_zero,professional,site_0583
584,defi_web3,transform_scale0,professional,site_0584
585,governo,opacity_001,professional,site_0585
586,governo,zindex_behind,professional,site_0586
587,governo,aria_hidden,professional,site_0587
588,governo,fontsize_zero,professional,site_0588
589,jobs_tech,transform_scale0,professional,site_0589
590,jobs_tech,opacity_001,professional,site_0590
591,jobs_tech,zindex_behind,professional,site_0591
592,jobs_tech,aria_hidden,professional,site_0592
593,financas,fontsize_zero,professional,site_0593
594,financas,transform_scale0,professional,site_0594
595,financas,opacity_001,professional,site_0595
596,financas,zindex_behind,professional,site_0596
597,news_portal,aria_hidden,professional,site_0597
598,news_portal,fontsize_zero,professional,site_0598
599,news_portal,transform_scale0,professional,site_0599
600,news_portal,opacity_001,professional,site_0600
